"Year"	"USFWBand"	"JayID"	"NatalNest"	"TerrYr.x"	"Terr"	"HatchDate"	"FldgDate"	"LastObsDate"	"Mass"	"MeasDate"	"HatchNum"	"FldgNum"	"Days"	"Years"	"Censor"	"Day11"	"Help"	"HelpNum"	"dadband"	"NestYear.x"	"TerrYr.y"	"dadid"	"dadexp"	"dadage"	"momband"	"NestYear.y"	"TerrYr"	"momid"	"momexp"	"momage"	"CountofJayID"	"NumTerr"	"Den"
"66"	"1985"	"1453-39196"	"RSA-"	"POLA851"	"POLA85"	"POLA"	1985-04-26	5612	10145	52.1	1985-05-07	3	3	4533	12.41	0	11	0	0	"793-09760"	"1985"	"POLA85"	"-GSW"	3	9	"1423-42633"	"1985"	"POLA85"	"YS-O"	0	3	109	35	3.11428571428571
"67"	"1985"	"1433-87476"	"PSF-"	"CACT851"	"CACT85"	"CACT"	1985-04-26	5611	6681	50.5	1985-05-07	3	3	1070	2.93	0	11	0	0	"1383-27194"	"1985"	"CACT85"	"A-SO"	4	6	"1383-27152"	"1985"	"CACT85"	"F-SL"	4	7	109	35	3.11428571428571
"68"	"1985"	"1433-87461"	"BSL-"	"MILW851"	"MILW85"	"MILW"	1985-04-21	5608	6065	44.6	1985-05-02	3	3	457	1.25	0	11	0	0	"1383-27299"	"1985"	"MILW85"	"GS-A"	1	3	"1423-42785"	"1985"	"MILW85"	"S-BP"	0	2	109	35	3.11428571428571
"69"	"1985"	"1433-87462"	"PSL-"	"MILW851"	"MILW85"	"MILW"	1985-04-21	5608	6554	45.7	1985-05-02	3	3	946	2.59	0	11	0	0	"1383-27299"	"1985"	"MILW85"	"GS-A"	1	3	"1423-42785"	"1985"	"MILW85"	"S-BP"	0	2	109	35	3.11428571428571
"70"	"1985"	"1433-87487"	"FSA-"	"RATL851"	"RATL85"	"RATL"	1985-04-28	5614	5674	56	1985-05-09	3	3	60	0.16	1	11	0	0	"1423-42783"	"1985"	"RATL85"	"Y-GZ"	1	3	"1423-42635"	"1985"	"RATL85"	"YS-A"	1	3	109	35	3.11428571428571
"71"	"1985"	"1433-87488"	"ASA-"	"RATL851"	"RATL85"	"RATL"	1985-04-28	5614	5699	42.4	1985-05-09	3	3	85	0.23	1	11	0	0	"1423-42783"	"1985"	"RATL85"	"Y-GZ"	1	3	"1423-42635"	"1985"	"RATL85"	"YS-A"	1	3	109	35	3.11428571428571
"72"	"1985"	"1433-87454"	"WSn-"	"ARCT851"	"ARCT85"	"ARCT"	1985-04-20	5606	5612	54.8	1985-05-01	4	4	6	0.02	1	11	0	0	"1383-27251"	"1985"	"ARCT85"	"FFS="	2	4	"1383-27173"	"1985"	"ARCT85"	"-GPS"	3	5	109	35	3.11428571428571
"73"	"1985"	"1433-87478"	"LSF-"	"CACT851"	"CACT85"	"CACT"	1985-04-26	5611	5916	50.1	1985-05-07	3	3	305	0.84	1	11	0	0	"1383-27194"	"1985"	"CACT85"	"A-SO"	4	6	"1383-27152"	"1985"	"CACT85"	"F-SL"	4	7	109	35	3.11428571428571
"74"	"1985"	"1433-87486"	"LSA-"	"RATL851"	"RATL85"	"RATL"	1985-04-28	5614	5699	53	1985-05-09	3	3	85	0.23	1	11	0	0	"1423-42783"	"1985"	"RATL85"	"Y-GZ"	1	3	"1423-42635"	"1985"	"RATL85"	"YS-A"	1	3	109	35	3.11428571428571
"75"	"1985"	"1433-87459"	"RSn-"	"WSIX851"	"WSIX85"	"WSIX"	1985-04-20	5603	5612	51.8	1985-05-01	3	3	9	0.02	1	11	1	2	"1433-92953"	"1985"	"WSIX85"	"F-YZ"	2	3	"1433-87489"	"1985"	"WSIX85"	"O-RZ"	2	4	109	35	3.11428571428571
