"USFWBand"	"JayID"	"NatalNest"	"TerrYr"	"Terr"	"Year"	"HatchDate"	"FldgDate"	"LastObsDate"	"Mass"	"MeasDate"	"HatchNum"	"FldgNum"	"Days"	"Years"	"Censor"	"Day11"	"Help"	"HelpNum"	"SexIND"	"FBreeder"	"FUSFWBand"	"MBreeder"	"MUSFWBand"	"famid"
"80"	"1043-80126"	"-SRO"	"SIBR881"	"SIBR88"	"SIBR"	"1988"	1988-04-08	6692	6767	39.6	1988-04-19	4	4	75	0.21	1	11	1	1	3	"L-LZ"	"1433-92947"	"L-AZ"	"1433-92949"	5
"81"	"1043-80127"	"-SGO"	"SIBR881"	"SIBR88"	"SIBR"	"1988"	1988-04-08	6692	7100	43.8	1988-04-19	4	4	408	1.12	0	11	1	1	2	"L-LZ"	"1433-92947"	"L-AZ"	"1433-92949"	5
"82"	"1043-80128"	"-SYn"	"SIBR881"	"SIBR88"	"SIBR"	"1988"	1988-04-08	6692	6706	32	1988-04-19	4	4	14	0.04	1	11	1	1	3	"L-LZ"	"1433-92947"	"L-AZ"	"1433-92949"	5
"83"	"1043-80137"	"-SLO"	"SPLT882"	"SPLT88"	"SPLT"	"1988"	1988-04-17	6701	6767	38.5	1988-04-28	3	3	66	0.18	1	11	1	1	3	"-ASA"	"1433-93035"	"RBS-"	"1433-92044"	1
"84"	"1043-80139"	"-SAO"	"SPLT882"	"SPLT88"	"SPLT"	"1988"	1988-04-17	6701	9173	38.2	1988-04-28	3	3	2472	6.77	0	11	1	1	1	"-ASA"	"1433-93035"	"RBS-"	"1433-92044"	1
"85"	"1043-80140"	"-SBF"	"NWES881"	"NWES88"	"NWES"	"1988"	1988-04-17	6701	6767	51.1	1988-04-28	3	3	66	0.18	1	11	0	0	3	"L-WZ"	"1433-92938"	"S-WO"	"1423-42776"	1
"86"	"1043-80142"	"-SOF"	"NWES881"	"NWES88"	"NWES"	"1988"	1988-04-17	6701	8232	41	1988-04-28	3	3	1531	4.19	0	11	0	0	1	"L-WZ"	"1433-92938"	"S-WO"	"1423-42776"	1
"87"	"1043-80143"	"-SWF"	"SORA882"	"SORA88"	"SORA"	"1988"	1988-04-18	6702	7986	33.8	1988-04-29	4	4	1284	3.52	0	11	1	1	1	"G-PZ"	"1423-42684"	"PS-F"	"1423-42608"	1
"88"	"1043-80144"	"-SRF"	"SORA882"	"SORA88"	"SORA"	"1988"	1988-04-18	6702	9659	34.5	1988-04-29	4	4	2957	8.1	0	11	1	1	1	"G-PZ"	"1423-42684"	"PS-F"	"1423-42608"	1
"89"	"1043-80145"	"-SGF"	"SORA882"	"SORA88"	"SORA"	"1988"	1988-04-18	6702	7166	27.6	1988-04-29	4	4	464	1.27	0	11	1	1	2	"G-PZ"	"1423-42684"	"PS-F"	"1423-42608"	1
"90"	"1043-80146"	"-SYn"	"SORA882"	"SORA88"	"SORA"	"1988"	1988-04-18	6702	6706	36.6	1988-04-29	4	4	4	0.01	1	11	1	1	3	"G-PZ"	"1423-42684"	"PS-F"	"1423-42608"	1
"91"	"1043-80148"	"-SPA"	"CABS881"	"CABS88"	"CABS"	"1988"	1988-04-18	6698	6797	46.5	1988-04-29	3	3	99	0.27	1	11	1	3	3	"-ASY"	"1433-93022"	"RSL-"	"1433-87426"	1
"92"	"1043-80150"	"-SWn"	"LINS881"	"LINS88"	"LINS"	"1988"	1988-04-18	6703	6706	41.5	1988-04-29	4	4	3	0.01	1	11	0	0	1	"BSA-"	"1433-87437"	"-SYW"	"793-09885"	1
"93"	"1043-80151"	"-SRL"	"LINS881"	"LINS88"	"LINS"	"1988"	1988-04-18	6703	8504	35	1988-04-29	4	4	1801	4.93	0	11	0	0	1	"BSA-"	"1433-87437"	"-SYW"	"793-09885"	1
